"","nearestBuilding","distToNearestBuilding"
"331","Baldwin Hall",0
"332","LeConte Hall",0
"333","LeConte Hall",0
"334","Baldwin Hall",0
"335","Baldwin Hall",0
"336","Baldwin Hall",0
"337","Baldwin Hall",0
"338","Baldwin Hall",0
"339","Baldwin Hall",0
"340","Baldwin Hall",0
"341","Baldwin Hall",0
"342",NA,0
"343","Baldwin Hall",0
"344","Caldwell Hall",0
"345","Caldwell Hall",0
"346","Caldwell Hall",0
"347","Caldwell Hall",0
"348","Caldwell Hall",0
"349","Caldwell Hall",0
"350","Caldwell Hall",0
"351","Caldwell Hall",0
"352","Caldwell Hall",0
"353","Caldwell Hall",0
"354","Caldwell Hall",0
"355","Caldwell Hall",0
"356","Caldwell Hall",0
"357","New College",0
"358","Lustrat House",0
"359","Lustrat House",0
"360","Lustrat House",0
"361","Lustrat House",0
"362","Lustrat House",0
"363","Lustrat House",0
"364","Peabody Hall",0
"365","Peabody Hall",0
"366","Peabody Hall",0
"367","Peabody Hall",0
"368","Peabody Hall",0
"369","Peabody Hall",0
"370","Peabody Hall",0
"371","Jackson Street Building",0
"372","Jackson Street Building",0
"373","Jackson Street Building",0
"374","Jackson Street Building",0
"375","Jackson Street Building",0
"376","Jackson Street Building",0
"377","Jackson Street Building",0
"378","Jackson Street Building",0
"379","Lustrat House",0
"380","Lustrat House",0
"381","Jackson Street Building",0
"382","Jackson Street Building",0
"383","Jackson Street Building",0
"384","Jackson Street Building",0
"385","Jackson Street Building",0
"386","Jackson Street Building",0
"387","Baldwin Hall",0
"388","Baldwin Hall",0
"389","Baldwin Hall",0
"390","Baldwin Hall",0
"391","Baldwin Hall",0
"392","Baldwin Hall",0
"393","Baldwin Hall",0
"394","Baldwin Hall",0
"395","Baldwin Hall",0
"396","Baldwin Hall",0
"397","Baldwin Hall",0
"398","Baldwin Hall",0
"399","Baldwin Hall",0
"400","Baldwin Hall",0
"401","Baldwin Hall",0
"402","Baldwin Hall",0
"403","Baldwin Hall",0
"404","Jackson Street Building",0
"405","Jackson Street Building",0
"406","Jackson Street Building",0
"407","Jackson Street Building",0
"408","New College",0
"409","Chapel",0
"410","Administration Building",0
"411","Administration Building",0
"412","Administration Building",0
"413","Administration Building",0
"414","Administration Building",0
"415","Administration Building",0
"416","Administration Building",0
"417","Administration Building",0
"418","Administration Building",0
"419","Administration Building",0
"420","Administration Building",0
"421","Administration Building",0
"422","Administration Building",0
"423","Administration Building",0
"424","Administration Building",0
"425","Terrell Hall",0
"426","Terrell Hall",0
"427","Terrell Hall",0
"428","Administration Building",0
"429","Administration Building",0
"430","Administration Building",0
"431","Administration Building",0
"432","Administration Building",0
"433","Administration Building",0
"434","Terrell Hall",0
"435","Terrell Hall",0
"436","Terrell Hall",0
"437","Demosthenian Hall",0
"438","Demosthenian Hall",0
"439","Chapel",0
"440","Terrell Hall",0
"441","Terrell Hall",0
"442","Terrell Hall",0
"443","Terrell Hall",0
"444","Terrell Hall",0
"445","Terrell Hall",0
"446","Terrell Hall",0
"447","Terrell Hall",0
"448","Terrell Hall",0
"449","Terrell Hall",0
"450","Terrell Hall",0
"451","Terrell Hall",0
"452","Terrell Hall",0
"453","Terrell Hall",0
"454","Phi Kappa Hall",0
"455","Phi Kappa Hall",0
"456","Phi Kappa Hall",0
"457","Phi Kappa Hall",0
"458","Administration Building",0
"459",NA,0
"460",NA,0
